Category,Metric,Description
Dry Bulk,BDI,"Baltic Dry Index – composite index of Capesize, Panamax and Supramax time-charter averages."
Dry Bulk,Capesize Rate,Time-charter rate for Capesize bulk carriers (typically 180k dwt).
Dry Bulk,Panamax Rate,Time-charter rate for Panamax bulk carriers (around 82k dwt).
Dry Bulk,Supramax Rate,Time-charter rate for Supramax bulk carriers.
Dry Bulk,Dry Cargo Volume,"Global volume of dry bulk cargo (iron ore, coal, grain)."
Dry Bulk,Orderbook,Newbuild orderbook for bulk carriers by size class.
Crude Tankers,BDTI,Baltic Dirty Tanker Index – measures transportation cost of crude oil and fuel oil.
Crude Tankers,VLCC Rate,Spot or time-charter rate for Very Large Crude Carriers.
Crude Tankers,Suezmax Rate,Spot or time-charter rate for Suezmax crude tankers.
Crude Tankers,Aframax Rate,Spot or time-charter rate for Aframax crude tankers.
Crude Tankers,Oil Price (Brent),Price of Brent crude oil benchmark.
Crude Tankers,Fleet Size,"Total number of crude tankers by class (VLCC, ULCC, Suezmax, Aframax, Panamax)."
Product & Chemical Tankers,BCTI,Baltic Clean Tanker Index – measures transportation cost of refined products like gasoline and diesel.
Product & Chemical Tankers,LR2 Rate,Spot or time-charter rate for LR2 product tankers.
Product & Chemical Tankers,MR Rate,Spot or time-charter rate for Medium Range (MR) product tankers.
Product & Chemical Tankers,Refined Product Prices,"Prices of gasoline, diesel, jet fuel and naphtha."
Product & Chemical Tankers,Chemical Tanker Rate,Spot or time-charter rate for chemical tankers (IMO classed).
Gas Carriers,BLNG,Baltic LNG Index – composite index for LNG carrier spot rates.
Gas Carriers,BLPG,Baltic LPG Index – composite index for LPG carrier spot rates.
Gas Carriers,VLGC Rate,Spot or time-charter rate for Very Large Gas Carriers (LPG).
Gas Carriers,LNG Spot Rate,"Spot charter rate for LNG carriers (e.g., 160k m³ vessels)."
Gas Carriers,Natural Gas Price (TTF),Price of natural gas at the Dutch TTF hub.
Gas Carriers,VLGC Fleet,Number of Very Large Gas Carriers in service.
Container Shipping,SCFI,Shanghai Containerized Freight Index – spot rates from China.
Container Shipping,FBX,Freightos Baltic Index – composite index for global container freight.
Container Shipping,Charter Rate 2500 TEU,"Time-charter rate for ~2,500 TEU container ships."
Container Shipping,TEU Capacity,Global TEU capacity of container fleet and orderbook.
Container Shipping,Port Congestion Index,Measure of port congestion and waiting times.
Ro-Ro & Car Carriers,Car Carrier Rate,Time-charter rate for Pure Car and Truck Carriers (PCTC).
Ro-Ro & Car Carriers,Auto Export Volume,Volume of automotive exports/imports globally.
Ro-Ro & Car Carriers,RoPax Rate,Freight rate for passenger and vehicle ferries (RoPax).
Multipurpose/General Cargo,Multipurpose Rate,Freight rate for multipurpose/heavy-lift vessels.
Multipurpose/General Cargo,Project Cargo Index,Composite index for project cargo (oversized & heavy).
Reefer,Reefer Rate,Freight rate for refrigerated cargo (reefer vessels).
Reefer,Reefer Trade Volume,Global volume of temperature-controlled cargo shipped.
Vessel Size Category,Handymax (< 60k dwt),"Bulk or tanker vessels up to about 60,000 dwt."
Vessel Size Category,Panamax (~65k dwt),Largest vessel size able to transit the Panama Canal【164142669682782†L44-L54】.
Vessel Size Category,Capesize (80k-175k dwt),"Vessels too large for Panama/Suez, transit via Cape of Good Hope【164142669682782†L57-L62】."
